title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Senior / Cloud Infrastructure Security Engineer - DS/EZ,Cybersecurity,ST Engineering,Jurong East,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-cloud-infrastructure-security-engineer-ds-ez-st-engineering-jurong-east-34965125,founditsg
International Business Manager (DSC/TE/17300),Other,ST Engineering,Singapore,SG,2880,4320,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/international-business-manager-dsc-te-17300-st-engineering-singapore-34965127,founditsg
Division Manager (DSC/TE),Other,ST Engineering,Jurong East,SG,6480,8640,7560,SGD,,,,2025-05-28,https://www.foundit.sg/job/division-manager-dsc-te-st-engineering-jurong-east-34965126,founditsg
"Executive/Snr Executive, Internal Audit",Other,ST Engineering,Singapore,SG,2880,4320,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/executive-snr-executive-internal-audit-st-engineering-singapore-34965132,founditsg
Assistant Engineer (ILS) - DS/EZ,Software/Web Development,ST Engineering,Jurong East,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/assistant-engineer-ils-ds-ez-st-engineering-jurong-east-34965128,founditsg
Software Engineer (DSC/CY/I2),Software/Web development,ST Engineering,West Coast,SG,2400,6000,4200,SGD,,,,2025-05-28,https://www.foundit.sg/job/software-engineer-dsc-cy-i2-st-engineering-west-coast-34964289,founditsg
Software Engineer (DSC/CY/I2),Software/Web development,ST Engineering,Jurong East,SG,2400,6000,4200,SGD,,,,2025-05-28,https://www.foundit.sg/job/software-engineer-dsc-cy-i2-st-engineering-jurong-east-34964291,founditsg
Senior Presales Solutions Engineer (DSC/CY/I2),It consulting & Solutions,ST Engineering,West Coast,SG,6000,9600,7800,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-presales-solutions-engineer-dsc-cy-i2-st-engineering-west-coast-34964215,founditsg
Software Engineer (Type Script/Java) DSC/TE/17522,Software/Web development,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/software-engineer-type-script-java-dsc-te-17522-st-engineering-singapore-34964517,founditsg
Senior Software Engineer / Lead (DSC/CY/I2),Software/Web development,ST Engineering,West Coast,SG,2400,6000,4200,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-lead-dsc-cy-i2-st-engineering-west-coast-34964149,founditsg
Senior Software Engineer - DSC/MC,Software/Web development,ST Engineering,North Buona Vista,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-dsc-mc-st-engineering-north-buona-vista-34963806,founditsg
Senior Software Engineer - DSC/MC,Software/Web development,ST Engineering,Upper Changi North,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-dsc-mc-st-engineering-upper-changi-north-34963830,founditsg
Senior Software Engineer / Lead (DSC/CY/I2),Software/Web development,ST Engineering,Jurong West,SG,2400,6000,4200,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-lead-dsc-cy-i2-st-engineering-jurong-west-34964148,founditsg
Senior Software Engineer - DSC/MC,Software/Web development,ST Engineering,Ang Mo Kio,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-dsc-mc-st-engineering-ang-mo-kio-34963829,founditsg
Cloud Engineer - DSC/MC,Cloud & Devops,ST Engineering,Ang Mo Kio,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/cloud-engineer-dsc-mc-st-engineering-ang-mo-kio-34965419,founditsg
Cloud Engineer - DSC/MC,Cloud & Devops,ST Engineering,Upper Changi North,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/cloud-engineer-dsc-mc-st-engineering-upper-changi-north-34965418,founditsg
Senior Software Engineer - DS/EZ,Software/Web development,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-ds-ez-st-engineering-singapore-34964395,founditsg
Senior Software Engineer - DSC/MC,Software/Web development,ST Engineering,Ang Mo Kio,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-software-engineer-dsc-mc-st-engineering-ang-mo-kio-34963809,founditsg
Principal AI Engineer - Electrical / Embedded,AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-electrical-embedded-st-engineering-singapore-34963873,founditsg
IT Network and Systems Engineer (DSC/CY/I2),Infra & System,ST Engineering,West Coast,SG,2400,6000,4200,SGD,,,,2025-05-28,https://www.foundit.sg/job/it-network-and-systems-engineer-dsc-cy-i2-st-engineering-west-coast-34964147,founditsg
