title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,avg_salary,min_salary,max_salary,currency,cleaned_title,level,category
Business Solution (Production - MPS/MRP)/ BTS Punnawithi (ID: 673496)),Persolkelly,"Phra Khanong, Bangkok",,Full time,On-site,2025-05-09,https://th.jobsdb.com/job/84120949,TH,jobsdbth,,,,,business solution production - mps/mrp/ bts id 673496,,Other
SAP PP Consultant,Michael Page,Bangkok,"100,000-150,000 THB",Full time,Hybrid,2025-05-16,https://th.jobsdb.com/job/84263672,TH,jobsdbth,125000,100000,150000,THB,sap pp consultant,,SAP / ERP
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,Bangkok,,Full time,Hybrid,2024-10-01,https://th.jobsdb.com/job/79215755,TH,jobsdbth,,,,,analyst/senior analyst analytics -,Senior,Data & Analytics
SAP CO/SD Consultant,Hitachi Digital Services,Bangkok,,Contract/Temp,Hybrid,2025-04-29,https://th.jobsdb.com/job/83881585,TH,jobsdbth,,,,,sap co/sd consultant,,SAP / ERP
Staff Software Engineer – Front End (Bangkok based – Relocation provided),Agoda,Bangkok,,Full time,Hybrid,2024-08-01,https://th.jobsdb.com/job/77790396,TH,jobsdbth,,,,,staff software engineer front end,,Software/Web Development
Application Designer (6 Months contract/BTS Chatuchak),Persolkelly,"Chatuchak, Bangkok","฿70,000 – ฿100,000 per month",Contract/Temp,On-site,2025-05-09,https://th.jobsdb.com/job/84125496,TH,jobsdbth,85000,70000,100000,THB,application designer 6 /bts chatuchak,,Other
Senior Java Developer,Omniscien,"Vadhana, Bangkok",,Full time,On-site,2025-05-09,https://th.jobsdb.com/job/84119957,TH,jobsdbth,,,,,senior java developer,Senior,Software/Web Development
"GRC Lead (Bangkok based, relocation provided)",Agoda,Bangkok,,Full time,Hybrid,2024-10-01,https://th.jobsdb.com/job/79215870,TH,jobsdbth,,,,,grc lead,Manager,Other
[Cooperative Internship 2025] NOC Engineer Intern,Agoda,Bangkok,,Full time,Hybrid,2024-10-01,https://th.jobsdb.com/job/79215790,TH,jobsdbth,,,,,cooperative internship 2025 noc engineer intern,Intern,Network
"Senior Product Designer – Travel Platforms (Bangkok-based, Relocation Provided)",Agoda,Bangkok,,Full time,Hybrid,2024-07-25,https://th.jobsdb.com/job/77584746,TH,jobsdbth,,,,,senior product designer travel platforms -,Senior,Project & Product Management
IP Network Manager (Presales),PRTR Recruitment,"Huai Khwang, Bangkok",,Full time,On-site,2025-05-06,https://th.jobsdb.com/job/84026145,TH,jobsdbth,,,,,ip network manager presales,Manager,Network
"Senior Specialist, Program Management (Bangkok-based, Relocation Provided)",Agoda,Bangkok,,Full time,Hybrid,2024-09-13,https://th.jobsdb.com/job/78832740,TH,jobsdbth,,,,,senior specialist program management -,Senior,Other
Business Enterprise Architect Specialist ประจำสีลม,Chan Wanich,"Bang Rak, Bangkok",,Full time,On-site,2025-05-02,https://th.jobsdb.com/job/83966592,TH,jobsdbth,,,,,business enterprise architect specialist ประจำสลม,,Other
Loan Recovery Manager - Up to 65K - @MRT Lumpini (ID: 666478),Persolkelly,Bangkok,,Full time,On-site,2025-05-14,https://th.jobsdb.com/job/84211437,TH,jobsdbth,,,,,loan recovery manager - up 65k - mrt lumpini id 666478,Manager,Other
