title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
System Engineer (IT Technician),,Capital Diamond Star Group (CDSG),Yangon,MM,,,,,,,,2025-05-05,https://www.jobnet.com.mm/job/system-engineer-it-technician-capital-diamond-star-group-cdsg/104419,jobnetmm
Power Platform Developer,,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,MM,,,,,,,,2025-05-05,https://www.jobnet.com.mm/job/power-platform-developer-dai-ichi-life-insurance-myanmar-ltd/113300,jobnetmm
"Manager/Sr.Manager, Revenue Intelligence (RAFM IT)",,ATOM,Yangon,MM,,,,,,,,2025-05-03,https://www.jobnet.com.mm/job/manager-srmanager-revenue-intelligence-rafm-it-atom/113824,jobnetmm
Software Developer,,"Myanmar Fiber Optic Communication Network Co.,Ltd",Yangon,MM,,,,,,,,2025-05-03,https://www.jobnet.com.mm/job/software-developer-myanmar-fiber-optic-communication-network-co-ltd/113823,jobnetmm
System Architect & Devops Engineer,,Mahar Bawga Group of Companies,Yangon,MM,,,,,,,,2025-05-03,https://www.jobnet.com.mm/job/system-architect-and-devops-engineer-mahar-bawga-group-of-companies/113812,jobnetmm
Senior Payment Support Technician,,KBZ Bank,Yangon,MM,,,,,,,,2025-05-02,https://www.jobnet.com.mm/job/senior-payment-support-technician-kbz-bank/113782,jobnetmm
Senior System Engineer,,KBZ Bank,Yangon,MM,,,,,,,,2025-05-02,https://www.jobnet.com.mm/job/senior-system-engineer-kbz-bank/113781,jobnetmm
Senior Software Developer/Core Banking Specialist,,Myanmar Metro Bank,Yangon,MM,,,,,,,,2025-05-01,https://www.jobnet.com.mm/job/senior-software-developer-core-banking-specialist-myanmar-metro-bank/101903,jobnetmm
Senior Odoo Developer,,"R&P International Co.,Ltd",Yangon,MM,,,,,,,,2025-04-30,https://www.jobnet.com.mm/job/senior-odoo-developer-randp-international-co-ltd/111828,jobnetmm
Python Developer,,,Yangon,MM,,,,,,,,2025-04-30,https://www.jobnet.com.mm/job/python-developer/113687,jobnetmm
Junior IT Officer,,Gandamar Shwe Pyi,Yangon,MM,,,,,,,,2025-04-30,https://www.jobnet.com.mm/job/junior-it-officer-gandamar-shwe-pyi/113656,jobnetmm
