title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
"Senior Manager, Head Of Access Transport",ATOM,Yangon,Negotiable,,,08 May 2025,https://www.jobnet.com.mm/job/senior-manager-head-of-access-transport-atom/114044,MM,jobnetmm
"Senior Manager, IT Infrastructure & Security",ATOM,Yangon,Negotiable,,,08 May 2025,https://www.jobnet.com.mm/job/senior-manager-it-infrastructure-and-security-atom/114043,MM,jobnetmm
"IT Executive ( System Maintenance, Support)","Mo Mo Ventures Finance Co.,Ltd",Yangon,Negotiable,,,08 May 2025,https://www.jobnet.com.mm/job/it-executive-system-maintenance-support-mo-mo-ventures-finance-co-ltd/109409,MM,jobnetmm
Java Developer (Senior Level) (Software Developer),CB Bank,Yangon,Negotiable,,,07 May 2025,https://www.jobnet.com.mm/job/java-developer-senior-level-cb-bank/113985,MM,jobnetmm
Senior Software Developer (Java Script) (Software Developer),"AGB Communication Co.,Ltd",Yangon,Negotiable,,,07 May 2025,https://www.jobnet.com.mm/job/senior-software-developer-java-script-agb-communication-co-ltd/113984,MM,jobnetmm
Application Support Officer (IT Support),Yoma Bank,Yangon,Negotiable,,,07 May 2025,https://www.jobnet.com.mm/job/application-support-officer-yoma-bank/113965,MM,jobnetmm
System Engineer/ IT Technician,SHWE TAUNG GROUP,Yangon,Negotiable,,,07 May 2025,https://www.jobnet.com.mm/job/system-engineer-it-technician-shwe-taung-group/113964,MM,jobnetmm
IT Infra Engineer,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,Negotiable,,,07 May 2025,https://www.jobnet.com.mm/job/it-infra-engineer-dai-ichi-life-insurance-myanmar-ltd/113960,MM,jobnetmm
Corporate Senior SAP Technical Executive (Software Developer),PME & AG Holding,Yangon,Negotiable,,,07 May 2025,https://www.jobnet.com.mm/job/corporate-senior-sap-technical-executive-pme-and-ag-holding/108939,MM,jobnetmm
Senior Mobile Developer (Software Developer),"A2000 Myanmar Co., Ltd",Yangon,Negotiable,,,05 May 2025,https://www.jobnet.com.mm/job/senior-mobile-developer-a2000-myanmar-co-ltd/113856,MM,jobnetmm
