title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,category
IT Network and Systems Engineer (DSC/CY/I2),ST Engineering,West Coast,"2,400-6,000 SGD",[],,12 hours ago,/job/it-network-and-systems-engineer-dsc-cy-i2-st-engineering-west-coast-34964147,SG,founditsg,['Network Administrator']
IT Network and Systems Engineer (DSC/CY/I2),ST Engineering,Jurong East,"2,400-6,000 SGD",[],,13 hours ago,/job/it-network-and-systems-engineer-dsc-cy-i2-st-engineering-jurong-east-34964145,SG,founditsg,['Network Administrator']
Project Engineer (Network Infrastructure),ST Engineering,Singapore,"2,880-4,320 SGD",[],,9 hours ago,/job/project-engineer-network-infrastructure-st-engineering-singapore-34965064,SG,founditsg,['Project Leader/Project Manager']
"Senior / Engineer, Network (GC/SW)",ST Engineering,Singapore,"2,160-3,600 SGD",[],,12 hours ago,/job/senior-engineer-network-gc-sw-st-engineering-singapore-34964399,SG,founditsg,"['Network Administrator', 'Technical Support Engineer']"
"Server Sales Manager(Johor, Malaysia、Jakarta, Indonesia)",Kaytus Systems Pte. Ltd,Singapore,"36,000-108,000 USD",[],,17 hours ago,/job/server-sales-manager-johor-malaysiajakarta-indonesia-kaytus-systems-pte-ltd-singapore-34963510,SG,founditsg,['Advertising - Executive']
Devops Automation,Tek Infotree Sdn Bhd,Singapore,"72,000-78,000 USD",[],,5 hours ago,/job/devops-automation-tek-infotree-sdn-bhd-singapore-34965894,SG,founditsg,['Devops']
Senior FrontEnd Developer (Vue / React),Deepsky Tech Pte. Ltd,Singapore,"60,000-108,000 SGD",[],,4 days ago,/job/senior-frontend-developer-vue-react-deepsky-tech-pte-ltd-singapore-33717528,SG,founditsg,['Software Developer']
Application Support Engineer,Linktrix Consultants Pte Ltd,High Street,"36,000-54,000 SGD",[],,5 days ago,/job/application-support-engineer-linktrix-consultants-pte-ltd-high-street-33627103,SG,founditsg,['Network Engineer']
AS400 Developer,Thakral One Solutions Private Limited,Singapore,"24,000-48,000 SGD",[],,4 days ago,/job/as400-developer-thakral-one-solutions-private-limited-singapore-33811154,SG,founditsg,['Software Engineer/Programmer']
Software Lead,Linktrix Consultants Pte Ltd,High Street,"84,000-120,000 SGD",[],,5 days ago,/job/software-lead-linktrix-consultants-pte-ltd-high-street-33627101,SG,founditsg,['Systems Engineer']
