title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
Network & Security Engineer / Specialist (ClearPass),Nanyang Inc Pte Ltd,Geylang,"50,400-78,000 SGD",[],,5 days ago,/job/network-security-engineer-specialist-clearpass-nanyang-inc-pte-ltd-geylang-33861298,SG,founditsg
Business Analyst (IT),Intellect Minds Pte Ltd,Singapore,"72,000-96,000 SGD",[],,4 days ago,/job/business-analyst-it-intellect-minds-pte-ltd-singapore-33754358,SG,founditsg
Network Security Engineer,R Systems Singapore Pte Ltd,"Bukit Merah, Jalan Bukit Merah","54,000-78,000 SGD",['Contract Job'],,4 days ago,/job/network-security-engineer-r-systems-singapore-pte-ltd-bukit-merah-jalan-bukit-merah-33521498,SG,founditsg
Devops Engineer,Zenith Infotech (S) Pte Ltd,Singapore,"84,000-96,000 SGD",['Contract Job'],,5 days ago,/job/devops-engineer-zenith-infotech-s-pte-ltd-singapore-33811615,SG,founditsg
(CISCO and ARUBA) Senior Network Engineer,Sourceo Pte Ltd,Singapore,"96,000-108,000 SGD",[],,5 days ago,/job/cisco-and-aruba-senior-network-engineer-sourceo-pte-ltd-singapore-33772820,SG,founditsg
Devops Engineer,Sourceo Pte Ltd,Singapore,"48,000-180,000 SGD",[],,5 days ago,/job/devops-engineer-sourceo-pte-ltd-singapore-33811696,SG,founditsg
Devops Engineer,Apar Technologies Private Limited,"Havelock Road, Cross Street, Eu Tong Sen Street","600,000-900,000 THB",[],,4 days ago,/job/devops-engineer-apar-technologies-private-limited-havelock-road-cross-street-eu-tong-sen-street-33471648,SG,founditsg
Software Engineer - DevOps,Zenith Infotech (S) Pte Ltd,Singapore,"72,000-96,000 SGD",[],,5 days ago,/job/software-engineer-devops-zenith-infotech-s-pte-ltd-singapore-33811617,SG,founditsg
Network & Security Engineer / Specialist,Nanyang Inc Pte Ltd,Geylang,"50,400-75,600 SGD",[],,5 days ago,/job/network-security-engineer-specialist-nanyang-inc-pte-ltd-geylang-33667320,SG,founditsg
Full Stack Developer,Infinite Computer Solutions Pte Ltd,"Singapore, Shenton Way","96,000-120,000 SGD",[],,4 days ago,/job/full-stack-developer-infinite-computer-solutions-pte-ltd-singapore-shenton-way-33744632,SG,founditsg
