title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Software Test Engineer (Fresh graduates welcome / Junior / Senior),Quality Assurance & Testing,Flowaccount,"Bang Rak, Bangkok",TH,40000,60000,50000,THB,Full time,On-site,Junior,2025-05-22,https://th.jobsdb.com/job/84400541,jobsdbth
Power BI Analyst,Data & Analytics,Siam City Cement,"Khlong Toei, Bangkok",TH,,,,,Full time,On-site,,2025-05-09,https://th.jobsdb.com/job/84125497,jobsdbth
"Business Analyst (Experience BA Bank, Government, Insurance)",Data & Analytics,Avalant,"Sathon, Bangkok",TH,40000,60000,50000,THB,Full time,On-site,,2025-05-26,https://th.jobsdb.com/job/84470879,jobsdbth
Product Owner,Project & Product Management,SRS Integration,Bangkok,TH,80000,120000,100000,THB,Contract/Temp,On-site,,2025-05-27,https://th.jobsdb.com/job/84505194,jobsdbth
Administrative and IT Support,Infra & System,BBL Asset Management,Bangkok,TH,,,,,Full time,On-site,,2025-05-23,https://th.jobsdb.com/job/84427756,jobsdbth
Data Management,Data & Analytics,Ascend Group,Bangkok,TH,,,,,Full time,On-site,,2025-05-27,https://th.jobsdb.com/job/84497000,jobsdbth
IT System Support,Infra & System,Thaicom,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,,2025-05-16,https://th.jobsdb.com/job/84281940,jobsdbth
ICT Specialist (IT Support),Infra & System,TDCX,"Bang Rak, Bangkok",TH,,,,,Full time,On-site,,2025-05-27,https://th.jobsdb.com/job/84512483,jobsdbth
[Opportunity Alert] Data Analyst/AI Research Intern,Data & Analytics,,Samut Prakan,TH,,,,,Part time,On-site,Intern,2025-05-27,https://th.jobsdb.com/job/84494030,jobsdbth
Project Management Officer / Coordinator,Project & Product Management,Aware Corporation,"Ratchathewi, Bangkok",TH,,,,,Contract/Temp,On-site,,2025-05-07,https://th.jobsdb.com/job/84062203,jobsdbth
Process Improvement,Other,Kasikorn Leasing,Bangkok Metropolitan Region,TH,,,,,Full time,Hybrid,,2025-05-26,https://th.jobsdb.com/job/84475542,jobsdbth
Data Analyst - Financial Services,Data & Analytics,Ascend Group,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84496771,jobsdbth
